,100_recognition,50nd_recognition,50wd_recognition,100_norecognition,50nd_norecognition,50wd_norecognition
commercial_aribnb_30s,17.0,18.0,17.0,3.0,1.0,3.0
commercial_att_30s,19.0,14.0,11.0,0.0,6.0,9.0
commercial_carscom_30s,16.0,13.0,13.0,4.0,6.0,7.0
commercial_cookies_30s,19.0,18.0,17.0,1.0,1.0,3.0
commercial_dominos_30s,20.0,17.0,16.0,0.0,2.0,4.0
commercial_doritos_30s,19.0,18.0,19.0,1.0,1.0,1.0
commercial_expedia_30s,13.0,12.0,10.0,7.0,7.0,10.0
commercial_google_pixel_30s,16.0,17.0,12.0,4.0,3.0,7.0
commercial_hr_block_30s,20.0,17.0,17.0,0.0,3.0,2.0
commercial_jersey_mikes_30s,20.0,19.0,19.0,0.0,1.0,0.0
commercial_lego_30s,16.0,11.0,17.0,4.0,9.0,2.0
commercial_meta_quest_2_30s,19.0,16.0,15.0,1.0,4.0,4.0
commercial_milk_30s,19.0,15.0,9.0,1.0,5.0,10.0
commercial_progressive_30s,18.0,20.0,20.0,1.0,0.0,0.0
commercial_publix_30s,17.0,16.0,14.0,2.0,4.0,6.0
commercial_puma_30s,17.0,18.0,16.0,2.0,2.0,4.0
commercial_starbucks_30s,15.0,17.0,11.0,4.0,3.0,9.0
commercial_under_armour_30s,14.0,11.0,10.0,5.0,9.0,10.0
health_alcohol_30s,18.0,20.0,20.0,1.0,0.0,0.0
health_alzheimers_30s,17.0,15.0,16.0,3.0,4.0,4.0
health_covid_vaccine_30s,19.0,16.0,17.0,1.0,3.0,3.0
health_diet_30s,18.0,16.0,19.0,2.0,3.0,1.0
health_drunk_driving_30s,19.0,17.0,16.0,1.0,1.0,4.0
health_fitness_30s,16.0,14.0,9.0,4.0,6.0,10.0
health_kidney_30s,18.0,17.0,15.0,2.0,3.0,4.0
health_mantherapy_30s,20.0,18.0,19.0,0.0,2.0,0.0
health_prediabetes_30s,18.0,16.0,17.0,2.0,4.0,2.0
health_stroke_30s,15.0,17.0,11.0,4.0,3.0,9.0
health_vaping_30s,17.0,18.0,15.0,2.0,2.0,5.0
health_weight_30s,14.0,17.0,12.0,5.0,3.0,8.0
